event_id,employee_id,event_type,event_date,details
EVT001060,EMP00813,Salary Increase,2024-07-06,+6.7%
EVT001061,EMP00813,Salary Increase,2023-08-23,+0.5%
EVT001062,EMP00814,Salary Increase,2024-09-18,+3.3%
EVT001063,EMP00814,Salary Increase,2024-08-31,+5.2%
EVT001064,EMP00815,Salary Increase,2024-11-24,+1.8%
EVT001065,EMP00816,Salary Increase,2024-08-29,+3.3%
EVT001066,EMP00817,Salary Increase,2024-04-28,+8.9%
EVT001067,EMP00817,Salary Increase,2023-09-13,+6.7%
EVT001068,EMP00818,Salary Increase,2025-01-08,+4.8%
EVT001069,EMP00818,Salary Increase,2024-09-27,+10.4%
EVT001070,EMP00818,Salary Increase,2024-12-21,+6.0%
EVT001071,EMP00818,Salary Increase,2025-06-05,+3.8%
EVT001072,EMP00819,Salary Increase,2023-07-19,+6.0%
EVT001073,EMP00820,Promotion,2025-05-14,Level up: 2 grades
EVT001074,EMP00820,Salary Increase,2023-02-15,+8.9%
EVT001075,EMP00820,Salary Increase,2024-12-07,+10.3%
EVT001076,EMP00820,Salary Increase,2025-01-07,+3.7%
EVT001077,EMP00820,Salary Increase,2023-06-28,+6.0%
EVT001078,EMP00824,Salary Increase,2023-12-19,+6.8%
EVT001079,EMP00826,Salary Increase,2025-01-22,+5.5%
EVT001080,EMP00827,Salary Increase,2023-05-18,+3.4%
EVT001081,EMP00828,Promotion,2024-08-28,Level up: 1 grade
EVT001082,EMP00829,Exit,2025-01-30,Voluntary - Personal Reasons
EVT001083,EMP00830,Promotion,2023-12-28,Level up: 2 grades
EVT001084,EMP00830,Salary Increase,2023-02-20,+2.2%
EVT001085,EMP00830,Salary Increase,2023-06-02,+0.5%
EVT001086,EMP00831,Salary Increase,2024-02-27,+2.3%
EVT001087,EMP00831,Salary Increase,2023-04-20,+1.6%
EVT001088,EMP00832,Salary Increase,2024-08-10,+4.0%
EVT001089,EMP00832,Salary Increase,2023-04-30,+8.9%
EVT001090,EMP00833,Salary Increase,2023-07-10,+4.3%
EVT001091,EMP00834,Salary Increase,2025-06-12,+9.2%
EVT001092,EMP00834,Salary Increase,2024-10-16,+6.2%
EVT001093,EMP00835,Salary Increase,2024-04-11,+4.1%
EVT001094,EMP00836,Salary Increase,2023-04-28,+5.7%
EVT001095,EMP00836,Salary Increase,2023-03-01,+8.7%
EVT001096,EMP00837,Salary Increase,2023-08-23,+10.0%
EVT001097,EMP00837,Salary Increase,2025-04-19,+7.4%
EVT001098,EMP00837,Salary Increase,2023-03-08,+6.8%
EVT001099,EMP00837,Salary Increase,2023-07-19,+4.8%
EVT001100,EMP00837,Salary Increase,2023-03-14,+2.9%
EVT001101,EMP00838,Salary Increase,2023-03-12,+5.6%
EVT001102,EMP00841,Salary Increase,2023-07-10,+4.5%
EVT001103,EMP00841,Salary Increase,2025-06-03,+2.9%
EVT001104,EMP00842,Salary Increase,2023-08-19,+3.8%
EVT001105,EMP00844,Promotion,2024-06-07,Level up: 1 grade
EVT001106,EMP00844,Salary Increase,2025-01-13,+6.0%
EVT001107,EMP00844,Salary Increase,2024-11-08,+9.7%
EVT001108,EMP00844,Salary Increase,2023-02-21,+2.3%
EVT001109,EMP00845,Salary Increase,2023-09-14,+3.6%
EVT001110,EMP00847,Salary Increase,2023-11-10,+0.9%
EVT001111,EMP00848,Salary Increase,2025-02-13,+7.3%
EVT001112,EMP00848,Salary Increase,2024-09-03,+7.8%
EVT001113,EMP00848,Salary Increase,2025-01-27,+5.2%
EVT001114,EMP00848,Salary Increase,2024-08-12,+5.1%
EVT001115,EMP00849,Promotion,2024-01-19,Level up: 1 grade
EVT001116,EMP00849,Salary Increase,2024-08-03,+5.2%
EVT001117,EMP00850,Salary Increase,2024-05-07,+7.8%
EVT001118,EMP00851,Promotion,2025-03-18,Level up: 1 grade
EVT001119,EMP00851,Salary Increase,2023-09-17,+2.0%
EVT001120,EMP00851,Salary Increase,2023-05-14,+3.8%
EVT001121,EMP00851,Salary Increase,2023-01-29,+6.9%
EVT001122,EMP00851,Salary Increase,2023-10-24,+2.9%
EVT001123,EMP00852,Salary Increase,2023-04-19,+8.8%
EVT001124,EMP00852,Salary Increase,2023-12-12,+6.0%
EVT001125,EMP00853,Salary Increase,2025-05-25,+5.4%
EVT001126,EMP00854,Salary Increase,2023-05-09,+6.3%
EVT001127,EMP00854,Salary Increase,2023-06-27,+8.7%
EVT001128,EMP00854,Salary Increase,2025-06-14,+4.7%
EVT001129,EMP00854,Salary Increase,2024-09-11,+7.9%
EVT001130,EMP00855,Promotion,2024-02-24,Level up: 2 grades
EVT001131,EMP00855,Salary Increase,2023-06-28,+0.5%
EVT001132,EMP00857,Salary Increase,2024-11-28,+12.7%
EVT001133,EMP00857,Exit,2025-05-24,Voluntary - Better Opportunity
EVT001134,EMP00858,Salary Increase,2024-05-14,+3.9%
EVT001135,EMP00859,Salary Increase,2025-02-24,+6.0%
EVT001136,EMP00859,Salary Increase,2024-09-21,+7.2%
EVT001137,EMP00859,Salary Increase,2025-04-03,+3.5%
EVT001138,EMP00860,Salary Increase,2025-01-11,+4.8%
EVT001139,EMP00860,Salary Increase,2023-12-04,+5.4%
EVT001140,EMP00861,Promotion,2024-08-30,Level up: 1 grade
EVT001141,EMP00862,Salary Increase,2024-01-28,+13.0%
EVT001142,EMP00862,Salary Increase,2024-04-05,+2.2%
EVT001143,EMP00863,Salary Increase,2024-11-08,+4.2%
EVT001144,EMP00865,Salary Increase,2024-01-05,+6.4%
EVT001145,EMP00867,Salary Increase,2024-08-17,+8.0%
EVT001146,EMP00867,Salary Increase,2023-09-20,+5.7%
EVT001147,EMP00867,Salary Increase,2023-10-22,+6.3%
EVT001148,EMP00869,Salary Increase,2024-09-22,+6.0%
EVT001149,EMP00869,Salary Increase,2024-08-03,+2.6%
EVT001150,EMP00869,Exit,2024-12-07,Involuntary - Restructuring
EVT001151,EMP00870,Salary Increase,2023-12-10,+6.5%
EVT001152,EMP00870,Salary Increase,2024-06-11,+4.1%
EVT001153,EMP00871,Salary Increase,2024-07-15,+3.7%
EVT001154,EMP00872,Salary Increase,2023-06-06,+6.9%
EVT001155,EMP00872,Exit,2024-10-04,Voluntary - Personal Reasons
EVT001156,EMP00873,Salary Increase,2023-01-16,+8.9%
EVT001157,EMP00873,Exit,2024-11-23,Voluntary - Personal Reasons
EVT001158,EMP00874,Salary Increase,2023-02-07,+7.4%
EVT001159,EMP00874,Salary Increase,2024-06-14,+7.0%
EVT001160,EMP00874,Salary Increase,2023-12-12,+2.1%
EVT001161,EMP00877,Salary Increase,2023-09-19,+4.4%
EVT001162,EMP00877,Salary Increase,2024-06-23,+7.1%
EVT001163,EMP00878,Salary Increase,2023-06-02,+8.2%
EVT001164,EMP00878,Exit,2025-02-23,Voluntary - Compensation
EVT001165,EMP00882,Salary Increase,2024-07-07,+3.5%
EVT001166,EMP00883,Promotion,2024-02-01,Level up: 1 grade
EVT001167,EMP00883,Salary Increase,2023-09-13,+8.5%
EVT001168,EMP00883,Salary Increase,2023-12-10,+7.6%
EVT001169,EMP00884,Exit,2023-08-06,Involuntary - Performance
EVT001170,EMP00889,Salary Increase,2023-11-13,+6.8%
EVT001171,EMP00889,Salary Increase,2023-05-09,+8.7%
EVT001172,EMP00890,Salary Increase,2025-06-24,+5.4%
EVT001173,EMP00890,Salary Increase,2024-01-14,+8.8%
EVT001174,EMP00890,Salary Increase,2024-08-17,+5.1%
EVT001175,EMP00891,Promotion,2024-05-20,Level up: 2 grades
EVT001176,EMP00893,Salary Increase,2024-01-24,+4.3%
EVT001177,EMP00893,Exit,2023-07-25,Voluntary - Better Opportunity
EVT001178,EMP00894,Salary Increase,2023-08-10,+5.4%
EVT001179,EMP00894,Salary Increase,2023-07-14,+4.4%
EVT001180,EMP00895,Salary Increase,2024-09-20,+5.0%
EVT001181,EMP00895,Salary Increase,2024-12-11,+7.6%
EVT001182,EMP00898,Salary Increase,2023-10-04,+8.1%
EVT001183,EMP00899,Salary Increase,2023-01-23,+3.9%
EVT001184,EMP00899,Salary Increase,2025-01-26,+0.5%
EVT001185,EMP00899,Salary Increase,2024-10-11,+8.4%
EVT001186,EMP00901,Salary Increase,2024-08-25,+0.5%
EVT001187,EMP00901,Salary Increase,2024-03-01,+5.2%
EVT001188,EMP00902,Salary Increase,2024-11-17,+6.1%
EVT001189,EMP00903,Salary Increase,2025-05-16,+0.5%
EVT001190,EMP00903,Salary Increase,2023-11-28,+3.6%
EVT001191,EMP00903,Salary Increase,2025-06-28,+5.2%
EVT001192,EMP00906,Salary Increase,2023-12-23,+7.7%
EVT001193,EMP00907,Salary Increase,2024-09-24,+6.1%
EVT001194,EMP00907,Salary Increase,2023-06-14,+9.0%
EVT001195,EMP00909,Salary Increase,2025-01-04,+8.1%
EVT001196,EMP00909,Salary Increase,2023-01-21,+6.6%
EVT001197,EMP00910,Promotion,2023-10-24,Level up: 1 grade
EVT001198,EMP00910,Salary Increase,2024-02-23,+7.1%
EVT001199,EMP00911,Exit,2024-06-14,Voluntary - Compensation
EVT001200,EMP00912,Promotion,2025-01-17,Level up: 2 grades
EVT001201,EMP00912,Salary Increase,2023-02-06,+10.0%
EVT001202,EMP00912,Salary Increase,2024-06-21,+4.4%
EVT001203,EMP00912,Salary Increase,2024-05-29,+7.5%
EVT001204,EMP00913,Salary Increase,2023-11-07,+5.6%
EVT001205,EMP00913,Salary Increase,2024-12-12,+6.4%
EVT001206,EMP00914,Salary Increase,2024-04-26,+5.1%
EVT001207,EMP00914,Salary Increase,2025-03-04,+5.1%
EVT001208,EMP00916,Salary Increase,2024-01-06,+5.1%
EVT001209,EMP00917,Salary Increase,2023-03-14,+9.1%
EVT001210,EMP00917,Salary Increase,2023-05-02,+5.6%
EVT001211,EMP00918,Promotion,2025-04-18,Level up: 2 grades
EVT001212,EMP00918,Salary Increase,2024-06-12,+7.7%
EVT001213,EMP00918,Salary Increase,2023-11-01,+6.7%
EVT001214,EMP00919,Salary Increase,2023-02-11,+3.7%
EVT001215,EMP00919,Salary Increase,2024-07-14,+5.5%
EVT001216,EMP00920,Salary Increase,2025-06-11,+8.9%
EVT001217,EMP00920,Salary Increase,2024-04-22,+9.0%
EVT001218,EMP00921,Salary Increase,2023-01-07,+4.7%
EVT001219,EMP00922,Salary Increase,2025-06-30,+6.5%
EVT001220,EMP00923,Salary Increase,2024-08-18,+2.5%
EVT001221,EMP00924,Salary Increase,2025-02-04,+5.2%
EVT001222,EMP00925,Salary Increase,2023-11-08,+5.5%
EVT001223,EMP00926,Salary Increase,2024-08-02,+9.3%
EVT001224,EMP00927,Promotion,2023-11-07,Level up: 1 grade
EVT001225,EMP00927,Salary Increase,2024-05-25,+4.9%
EVT001226,EMP00927,Exit,2023-11-04,Involuntary - Performance
EVT001227,EMP00928,Promotion,2024-05-03,Level up: 1 grade
EVT001228,EMP00928,Salary Increase,2023-07-06,+4.1%
EVT001229,EMP00928,Salary Increase,2024-08-07,+1.8%
EVT001230,EMP00929,Salary Increase,2024-08-07,+5.3%
EVT001231,EMP00931,Salary Increase,2024-04-08,+2.8%
EVT001232,EMP00931,Salary Increase,2024-11-20,+5.0%
EVT001233,EMP00931,Salary Increase,2024-10-09,+3.5%
EVT001234,EMP00932,Promotion,2024-10-11,Level up: 2 grades
EVT001235,EMP00936,Promotion,2023-10-02,Level up: 2 grades
EVT001236,EMP00936,Salary Increase,2025-04-15,+8.8%
EVT001237,EMP00937,Salary Increase,2024-02-03,+4.1%
EVT001238,EMP00938,Promotion,2024-07-11,Level up: 2 grades
EVT001239,EMP00938,Salary Increase,2024-01-08,+3.2%
EVT001240,EMP00939,Salary Increase,2023-04-07,+2.7%
EVT001241,EMP00940,Salary Increase,2023-04-21,+0.5%
EVT001242,EMP00940,Salary Increase,2024-09-22,+8.0%
EVT001243,EMP00940,Salary Increase,2025-01-14,+5.7%
EVT001244,EMP00940,Exit,2025-06-20,Voluntary - Career Growth
EVT001245,EMP00941,Salary Increase,2024-06-11,+2.0%
EVT001246,EMP00942,Salary Increase,2024-04-14,+5.5%
EVT001247,EMP00943,Salary Increase,2023-04-04,+4.9%
EVT001248,EMP00943,Salary Increase,2025-01-13,+7.3%
EVT001249,EMP00945,Salary Increase,2024-08-13,+1.7%
EVT001250,EMP00946,Promotion,2024-03-30,Level up: 1 grade
EVT001251,EMP00947,Salary Increase,2024-10-19,+7.4%
EVT001252,EMP00947,Salary Increase,2023-02-04,+7.0%
EVT001253,EMP00948,Promotion,2024-01-20,Level up: 1 grade
EVT001254,EMP00948,Salary Increase,2025-06-13,+6.5%
EVT001255,EMP00949,Salary Increase,2024-05-26,+2.7%
EVT001256,EMP00949,Salary Increase,2025-04-29,+3.6%
EVT001257,EMP00950,Salary Increase,2023-12-31,+4.5%
EVT001258,EMP00950,Salary Increase,2023-02-06,+7.3%
EVT001259,EMP00951,Salary Increase,2024-01-17,+3.6%
EVT001260,EMP00951,Salary Increase,2023-09-02,+9.1%
EVT001261,EMP00951,Salary Increase,2024-11-07,+6.7%
EVT001262,EMP00952,Salary Increase,2023-03-27,+6.8%
EVT001263,EMP00953,Salary Increase,2023-10-22,+6.1%
EVT001264,EMP00953,Salary Increase,2023-10-15,+2.5%
EVT001265,EMP00955,Promotion,2024-01-25,Level up: 1 grade
EVT001266,EMP00955,Salary Increase,2023-09-09,+6.2%
EVT001267,EMP00955,Salary Increase,2023-04-30,+8.6%
EVT001268,EMP00958,Promotion,2023-09-21,Level up: 1 grade
EVT001269,EMP00958,Salary Increase,2024-07-19,+5.7%
EVT001270,EMP00960,Salary Increase,2023-11-01,+5.0%
EVT001271,EMP00960,Salary Increase,2023-02-05,+2.7%
EVT001272,EMP00960,Salary Increase,2024-09-14,+3.6%
EVT001273,EMP00960,Exit,2024-03-10,Involuntary - Restructuring
EVT001274,EMP00962,Salary Increase,2024-11-23,+4.8%
EVT001275,EMP00962,Salary Increase,2024-07-21,+6.4%
EVT001276,EMP00962,Salary Increase,2023-08-13,+3.2%
EVT001277,EMP00963,Salary Increase,2023-05-11,+7.2%
EVT001278,EMP00964,Salary Increase,2025-05-29,+8.3%
EVT001279,EMP00967,Promotion,2024-09-25,Level up: 2 grades
EVT001280,EMP00967,Salary Increase,2023-09-21,+7.2%
EVT001281,EMP00968,Salary Increase,2023-12-02,+7.7%
EVT001282,EMP00968,Salary Increase,2025-03-19,+2.6%
EVT001283,EMP00970,Salary Increase,2024-11-17,+5.7%
EVT001284,EMP00971,Salary Increase,2025-06-06,+4.7%
EVT001285,EMP00972,Salary Increase,2023-01-31,+5.6%
EVT001286,EMP00972,Salary Increase,2023-08-30,+7.2%
EVT001287,EMP00973,Salary Increase,2024-03-28,+6.3%
EVT001288,EMP00974,Salary Increase,2024-10-12,+9.7%
EVT001289,EMP00975,Promotion,2023-11-10,Level up: 2 grades
EVT001290,EMP00976,Salary Increase,2024-03-03,+0.5%
EVT001291,EMP00977,Salary Increase,2023-12-26,+5.4%
EVT001292,EMP00977,Salary Increase,2025-04-10,+4.9%
EVT001293,EMP00978,Salary Increase,2023-06-05,+6.5%
EVT001294,EMP00978,Salary Increase,2024-01-26,+3.4%
EVT001295,EMP00978,Salary Increase,2023-04-20,+8.7%
EVT001296,EMP00979,Salary Increase,2023-01-16,+4.4%
EVT001297,EMP00981,Salary Increase,2025-04-26,+7.6%
EVT001298,EMP00981,Salary Increase,2023-07-30,+0.7%
EVT001299,EMP00982,Promotion,2025-05-20,Level up: 1 grade
EVT001300,EMP00982,Salary Increase,2025-04-27,+6.8%
EVT001301,EMP00983,Salary Increase,2023-07-28,+4.8%
EVT001302,EMP00983,Salary Increase,2024-09-25,+6.4%
EVT001303,EMP00985,Promotion,2024-10-18,Level up: 2 grades
EVT001304,EMP00985,Salary Increase,2025-02-15,+2.7%
EVT001305,EMP00985,Salary Increase,2024-03-16,+7.0%
EVT001306,EMP00986,Salary Increase,2025-02-17,+7.6%
EVT001307,EMP00986,Salary Increase,2024-12-16,+3.7%
EVT001308,EMP00986,Salary Increase,2024-04-21,+6.9%
EVT001309,EMP00986,Exit,2024-10-26,Voluntary - Personal Reasons
EVT001310,EMP00987,Salary Increase,2023-11-11,+3.7%
EVT001311,EMP00987,Salary Increase,2024-09-28,+7.2%
EVT001312,EMP00988,Salary Increase,2024-07-17,+2.4%
EVT001313,EMP00989,Salary Increase,2024-09-18,+7.9%
EVT001314,EMP00990,Salary Increase,2023-08-22,+2.2%
EVT001315,EMP00990,Salary Increase,2025-04-04,+6.6%
EVT001316,EMP00990,Salary Increase,2023-05-15,+4.0%
EVT001317,EMP00991,Salary Increase,2023-07-15,+6.2%
EVT001318,EMP00991,Salary Increase,2023-02-22,+3.1%
EVT001319,EMP00993,Salary Increase,2024-12-04,+8.3%
EVT001320,EMP00993,Salary Increase,2025-04-09,+6.3%
EVT001321,EMP00994,Promotion,2024-03-08,Level up: 1 grade
EVT001322,EMP00994,Salary Increase,2024-04-27,+8.4%
EVT001323,EMP00994,Salary Increase,2023-10-17,+5.0%
EVT001324,EMP00995,Salary Increase,2025-02-21,+8.3%
EVT001325,EMP00995,Salary Increase,2023-08-31,+7.4%
EVT001326,EMP00996,Salary Increase,2024-10-31,+4.9%
EVT001327,EMP00996,Salary Increase,2023-05-05,+5.5%
EVT001328,EMP00997,Salary Increase,2023-12-30,+6.3%
EVT001329,EMP00999,Promotion,2023-08-14,Level up: 1 grade
EVT001330,EMP00999,Salary Increase,2025-01-25,+4.9%
EVT001331,EMP00999,Salary Increase,2024-08-30,+6.6%
EVT001332,EMP00999,Salary Increase,2023-09-16,+3.1%
EVT001333,EMP01001,Salary Increase,2023-04-25,+5.3%
EVT001334,EMP01001,Salary Increase,2023-03-12,+8.6%
EVT001335,EMP01002,Promotion,2024-05-19,Level up: 2 grades
EVT001336,EMP01003,Salary Increase,2023-05-21,+4.6%
EVT001337,EMP01003,Salary Increase,2024-09-24,+6.0%
EVT001338,EMP01004,Salary Increase,2024-01-24,+12.1%
EVT001339,EMP01005,Salary Increase,2025-05-29,+7.6%
EVT001340,EMP01006,Salary Increase,2025-01-14,+5.0%
EVT001341,EMP01006,Salary Increase,2024-11-15,+0.5%
EVT001342,EMP01007,Salary Increase,2023-10-14,+10.2%
EVT001343,EMP01009,Promotion,2025-05-22,Level up: 1 grade
EVT001344,EMP01009,Salary Increase,2024-08-17,+5.8%
EVT001345,EMP01010,Salary Increase,2023-08-02,+10.6%
EVT001346,EMP01011,Salary Increase,2023-03-31,+8.8%
EVT001347,EMP01011,Salary Increase,2023-02-13,+7.3%
EVT001348,EMP01013,Salary Increase,2024-08-11,+8.1%
EVT001349,EMP01013,Salary Increase,2025-06-16,+4.7%
EVT001350,EMP01014,Salary Increase,2023-02-15,+5.2%
EVT001351,EMP01018,Salary Increase,2023-11-03,+1.8%
EVT001352,EMP01019,Salary Increase,2025-03-25,+6.3%
EVT001353,EMP01020,Salary Increase,2024-03-05,+13.5%
EVT001354,EMP01020,Salary Increase,2023-02-24,+8.9%
EVT001355,EMP01021,Promotion,2024-07-17,Level up: 2 grades
EVT001356,EMP01022,Promotion,2024-08-30,Level up: 1 grade
EVT001357,EMP01022,Salary Increase,2025-05-04,+6.1%
EVT001358,EMP01024,Promotion,2024-09-08,Level up: 1 grade
EVT001359,EMP01024,Exit,2024-02-27,Involuntary - Performance
EVT001360,EMP01025,Salary Increase,2023-11-08,+5.3%
EVT001361,EMP01028,Salary Increase,2025-04-16,+10.5%
EVT001362,EMP01028,Salary Increase,2024-01-17,+6.1%
EVT001363,EMP01028,Salary Increase,2023-10-24,+11.5%
EVT001364,EMP01028,Exit,2025-04-02,Voluntary - Career Growth
EVT001365,EMP01030,Promotion,2024-05-03,Level up: 1 grade
EVT001366,EMP01030,Salary Increase,2023-04-19,+8.7%
EVT001367,EMP01031,Salary Increase,2024-02-07,+3.6%
EVT001368,EMP01031,Salary Increase,2025-05-23,+6.3%
EVT001369,EMP01032,Salary Increase,2024-04-22,+6.2%
EVT001370,EMP01033,Salary Increase,2025-05-20,+6.3%
EVT001371,EMP01034,Promotion,2025-02-22,Level up: 1 grade
EVT001372,EMP01036,Salary Increase,2023-10-07,+4.0%
EVT001373,EMP01038,Promotion,2024-02-02,Level up: 1 grade
EVT001374,EMP01039,Salary Increase,2023-01-14,+8.0%
EVT001375,EMP01039,Salary Increase,2024-05-30,+4.4%
EVT001376,EMP01041,Salary Increase,2024-05-18,+8.6%
EVT001377,EMP01042,Salary Increase,2023-07-31,+3.5%
EVT001378,EMP01043,Salary Increase,2023-06-06,+1.4%
EVT001379,EMP01043,Salary Increase,2023-12-02,+2.6%
EVT001380,EMP01044,Salary Increase,2025-06-05,+6.5%
EVT001381,EMP01046,Salary Increase,2023-01-18,+5.4%
EVT001382,EMP01047,Salary Increase,2024-11-15,+6.6%
EVT001383,EMP01049,Salary Increase,2023-02-17,+7.1%
EVT001384,EMP01050,Salary Increase,2025-06-04,+5.3%
EVT001385,EMP01050,Salary Increase,2023-10-29,+6.0%
EVT001386,EMP01051,Salary Increase,2024-01-31,+2.9%
EVT001387,EMP01051,Salary Increase,2025-02-15,+4.5%
EVT001388,EMP01052,Salary Increase,2025-04-13,+9.0%
EVT001389,EMP01052,Salary Increase,2023-02-22,+7.6%
EVT001390,EMP01053,Promotion,2024-04-11,Level up: 1 grade
EVT001391,EMP01054,Exit,2024-08-20,Voluntary - Better Opportunity
EVT001392,EMP01055,Salary Increase,2025-04-09,+7.7%
EVT001393,EMP01056,Promotion,2024-04-03,Level up: 1 grade
EVT001394,EMP01056,Salary Increase,2024-03-18,+8.5%
EVT001395,EMP01057,Salary Increase,2024-06-12,+7.8%
EVT001396,EMP01058,Salary Increase,2023-12-31,+5.2%
EVT001397,EMP01058,Salary Increase,2023-06-24,+2.9%
EVT001398,EMP01059,Salary Increase,2025-03-11,+9.2%
EVT001399,EMP01059,Salary Increase,2024-04-28,+6.4%
EVT001400,EMP01060,Salary Increase,2024-09-02,+8.4%
EVT001401,EMP01060,Salary Increase,2023-11-19,+6.7%
EVT001402,EMP01060,Salary Increase,2023-03-20,+7.7%
EVT001403,EMP01061,Salary Increase,2023-07-15,+7.5%
EVT001404,EMP01063,Promotion,2023-11-06,Level up: 2 grades
EVT001405,EMP01065,Salary Increase,2024-07-29,+6.8%
EVT001406,EMP01065,Salary Increase,2023-03-12,+6.6%
EVT001407,EMP01067,Salary Increase,2023-09-12,+6.4%
EVT001408,EMP01067,Salary Increase,2024-07-05,+8.3%
EVT001409,EMP01068,Promotion,2024-01-15,Level up: 2 grades
EVT001410,EMP01068,Salary Increase,2024-03-30,+8.1%
EVT001411,EMP01068,Salary Increase,2024-07-28,+6.7%
EVT001412,EMP01070,Promotion,2023-10-27,Level up: 1 grade
EVT001413,EMP01072,Salary Increase,2023-01-08,+8.1%
EVT001414,EMP01073,Promotion,2024-11-03,Level up: 1 grade
EVT001415,EMP01073,Salary Increase,2023-01-18,+5.0%
EVT001416,EMP01074,Salary Increase,2024-06-18,+5.8%
EVT001417,EMP01074,Salary Increase,2024-11-27,+6.6%
EVT001418,EMP01076,Salary Increase,2023-06-10,+10.4%
EVT001419,EMP01076,Salary Increase,2023-01-16,+7.0%
EVT001420,EMP01077,Salary Increase,2024-06-12,+6.3%
EVT001421,EMP01077,Salary Increase,2023-08-15,+7.9%
EVT001422,EMP01077,Salary Increase,2025-05-22,+7.6%
EVT001423,EMP01079,Salary Increase,2023-05-16,+4.6%
EVT001424,EMP01080,Salary Increase,2024-04-13,+4.3%
EVT001425,EMP01081,Promotion,2024-07-25,Level up: 2 grades
EVT001426,EMP01082,Salary Increase,2023-12-24,+5.8%
EVT001427,EMP01084,Salary Increase,2025-04-29,+3.0%
EVT001428,EMP01085,Salary Increase,2024-05-28,+12.0%
EVT001429,EMP01087,Salary Increase,2025-03-15,+5.9%
EVT001430,EMP01087,Salary Increase,2023-04-26,+8.4%
EVT001431,EMP01087,Salary Increase,2024-09-18,+5.8%
EVT001432,EMP01087,Salary Increase,2023-05-17,+4.0%
EVT001433,EMP01088,Exit,2023-12-30,Voluntary - Career Growth
EVT001434,EMP01089,Promotion,2024-05-29,Level up: 2 grades
EVT001435,EMP01094,Promotion,2025-05-28,Level up: 1 grade
EVT001436,EMP01096,Salary Increase,2023-11-07,+6.2%
EVT001437,EMP01096,Salary Increase,2025-04-09,+7.1%
EVT001438,EMP01096,Salary Increase,2023-03-10,+2.5%
EVT001439,EMP01098,Promotion,2024-04-16,Level up: 1 grade
EVT001440,EMP01098,Salary Increase,2024-04-13,+8.1%
EVT001441,EMP01098,Salary Increase,2024-04-11,+6.0%
EVT001442,EMP01099,Salary Increase,2024-11-28,+5.4%
EVT001443,EMP01100,Salary Increase,2023-03-18,+2.6%
EVT001444,EMP01100,Salary Increase,2023-12-24,+7.6%
EVT001445,EMP01102,Salary Increase,2024-02-16,+4.0%
EVT001446,EMP01103,Salary Increase,2025-01-25,+6.8%
EVT001447,EMP01104,Promotion,2025-03-28,Level up: 1 grade
EVT001448,EMP01105,Salary Increase,2024-09-09,+4.9%
EVT001449,EMP01106,Salary Increase,2025-05-31,+5.4%
EVT001450,EMP01107,Salary Increase,2025-03-07,+1.9%
EVT001451,EMP01108,Salary Increase,2023-02-25,+1.4%
EVT001452,EMP01108,Salary Increase,2023-12-20,+1.1%
EVT001453,EMP01111,Salary Increase,2023-02-05,+5.8%
EVT001454,EMP01113,Salary Increase,2024-04-06,+7.0%
EVT001455,EMP01113,Salary Increase,2023-05-22,+7.3%
EVT001456,EMP01114,Salary Increase,2024-08-12,+8.8%
EVT001457,EMP01115,Salary Increase,2023-10-12,+7.1%
EVT001458,EMP01117,Salary Increase,2024-02-04,+8.3%
EVT001459,EMP01119,Salary Increase,2024-02-04,+3.2%
EVT001460,EMP01119,Salary Increase,2024-05-10,+3.6%
EVT001461,EMP01121,Salary Increase,2023-12-24,+8.5%
EVT001462,EMP01121,Salary Increase,2025-03-02,+7.2%
EVT001463,EMP01123,Promotion,2024-03-26,Level up: 2 grades
EVT001464,EMP01123,Salary Increase,2023-12-23,+4.3%
EVT001465,EMP01124,Salary Increase,2024-05-01,+5.1%
EVT001466,EMP01124,Salary Increase,2024-09-06,+3.2%
EVT001467,EMP01125,Exit,2023-09-25,Involuntary - Performance
EVT001468,EMP01128,Salary Increase,2024-01-19,+1.0%
EVT001469,EMP01128,Exit,2025-03-04,Voluntary - Personal Reasons
EVT001470,EMP01129,Salary Increase,2023-04-27,+8.4%
EVT001471,EMP01130,Promotion,2025-03-18,Level up: 1 grade
EVT001472,EMP01130,Salary Increase,2024-06-28,+4.5%
EVT001473,EMP01131,Salary Increase,2023-07-10,+3.8%
EVT001474,EMP01131,Salary Increase,2023-10-24,+5.5%
EVT001475,EMP01132,Salary Increase,2025-06-11,+5.7%
EVT001476,EMP01132,Salary Increase,2024-08-31,+6.7%
EVT001477,EMP01132,Salary Increase,2023-06-08,+7.9%
EVT001478,EMP01132,Salary Increase,2024-12-30,+6.9%
EVT001479,EMP01133,Salary Increase,2024-10-23,+10.3%
EVT001480,EMP01134,Salary Increase,2023-10-13,+9.7%
EVT001481,EMP01137,Promotion,2024-02-01,Level up: 1 grade
EVT001482,EMP01137,Salary Increase,2025-05-01,+4.3%
EVT001483,EMP01137,Salary Increase,2024-03-09,+5.9%
EVT001484,EMP01138,Salary Increase,2024-08-15,+5.6%
EVT001485,EMP01138,Salary Increase,2024-12-07,+6.1%
EVT001486,EMP01139,Salary Increase,2025-04-25,+5.0%
EVT001487,EMP01140,Salary Increase,2023-10-14,+4.3%
EVT001488,EMP01140,Salary Increase,2024-12-09,+8.5%
EVT001489,EMP01141,Salary Increase,2025-03-18,+2.5%
EVT001490,EMP01141,Salary Increase,2024-06-24,+4.3%
